lake waterconc fishmass liver fishdens fishconc growth
 1 0.017 22.6 1.34 1.3 0.98 12
 2 0.019 13.2 0.9  1.1 0.61  1.9
 3 0.01  24.5 0.9  1.4 0.84 15.2
 4 0.002 33.3 1.1  1.1 0.74 31
 5 0.008 19.6 0.82 0.1 0.68 11.5
 6 0.006 28.3 0.98 1.2 0.86 17.9
 7 0.009 24.4 1.1  1.1 0.68 11.7
 8 0.008 19.6 1.02 1   0.44  6.7
 9 0.011 30.2 1.37 0.1 0.89 21.2
10 0.017 23.6 1.36 0.9 0.93  4.1
11 0.012 18.8 0.92 1   0.7   8.4
12 0.012 20.2 0.84 1.1 0.84  8.1
13 0.015 11.8 0.52 0.9 0.67  2.6
14 0.005 27.7 0.97 1   0.81 18.8
15 0.009 27.3 0.93 1.5 0.91 18.5
16 0.017 19.8 1.21 0.6 0.64  6.6
17 0.007 30.7 1.07 0.5 0.91 30
18 0.013 20.4 0.9  1.1 0.7   4.6
19 0.004 28.7 1.22 1   1.11 19.9
20 0.014 27.9 1.26 1.6 0.91 11.8
21 0.017 20.4 1.02 1.4 0.7   5.8
22 0.011 27.8 1.4  0.8 0.83  8.9
23 0.003 37.5 1.15 0.9 1.13 36.3
24 0.019 17   1.19 1.2 0.8   2.5
25 0.017 15.9 0.99 0.9 0.58  5.9
26 0.007 26.4 1.06 1.1 0.77 16.7
27 0.016 21.4 1.02 1.4 1.11  4.8
28 0.014 23.7 1.08 0.4 0.76  9.1
29 0.017 15.2 0.92 0.9 0.77  5.8
30 0.013 20.1 0.94 1.3 0.86  1.6
31 0.011 29.8 1.22 1   1.18 18.1
32 0.012 29   1.24 0.9 1.07 16.3
33 0.005 26.8 0.96 0.9 0.68 26.5
34 0.016 13.9 0.94 0.6 0.45  2.7
35 0.012 23.5 1.06 0.6 0.86  9.9
